U+4E8C	二	*U+4E8C≠U+2011E≠U+2011F≠U+20120
U+8EF6	軶	*U+8EF6(H) was ^⿰車⿸戶乙$ before Unicode 11.0
U+8EFF	軿	*U+8EFF≡U+8F27
U+8F27	輧	*U+8F27≡U+8EFF
U+8FF8	迸	*U+8FF8≡U+902C
U+902C	逬	*U+902C≡U+8FF8
U+9038	逸	*U+9038(J)=U+284DC(G)
U+9059	遙	*U+9059≡U+9065
U+9065	遥	*U+9065≡U+9059
U+9094	邔	*U+9094=U+2866C(G);U+9094 has left-side form of 己
U+9136	鄶	*U+9136≡U+287A4
U+9219	鈙	*U+9219≡U+2B48B
U+92B3	銳	*U+92B3≡U+92ED
U+92ED	鋭	*U+92ED≡U+92B3
U+9306	錆	*U+9306(J) was ^⿰釒青$ before Unicode 8.0
U+93AB	鎫	*U+93AB(V) was ^⿰釒⿳⿱㇒冈八夊$ before Unicode 15.0
U+9459	鑙	*U+9459=U+28BBA(G)
U+95B1	閱	*U+95B1≡U+95B2
U+95B2	閲	*U+95B2≡U+95B1
U+9686	隆	*U+9686(J)=U+28E93
U+9819	頙	*U+9819(J)=U+29460
U+981A	頚	*U+981A(P)=U+2948D
U+985E	類	*U+985E(J)=U+29516
U+9905	餅	*U+9905≡U+9920
U+9907	餇	*U+9907(P)=U+296B1
U+9920	餠	*U+9920≡U+9905
U+99C7	駇	*U+99C7≡U+2CCE9
U+99E2	駢	*U+99E2≡U+9A08
U+9A08	騈	*U+9A08≡U+99E2
U+9BD6	鯖	*U+9BD6(J) was ^⿰魚青$ before Unicode 8.0
U+9F14	鼔	*U+9F14≡U+2EBA6
U+9F9D	龝	*U+9F9D=U+418B(K)
U+9FBA	龺	*lateral form of U+2099D
U+9FBB	龻	*top form of U+470C
U+FA23	﨣	*U+FA23=U+27EAF
U+34A8	㒨	*U+34A8(G)=U+20457
U+357E	㕾	*U+357E(K) was ^⿱小𫜸$ before Unicode 15.1
U+3588	㖈	*U+3588=U+439B
U+358B	㖋	*U+358B(K) was ^⿱介𫜸$ before Unicode 15.1
U+358C	㖌	*U+358C(K) was ^⿱仇𫜸$ before Unicode 15.1
U+358D	㖍	*U+358D(K) was ^⿱斗𫜸$ before Unicode 15.1
U+358E	㖎	*U+358E(K) was ^⿱𫜸介$ before Unicode 15.1
U+3599	㖙	*U+3599(K) was ^⿱加𫜸$ before Unicode 15.1
U+359A	㖚	*U+359A(K) was ^⿱付𫜸$ before Unicode 15.1
U+359B	㖛	*U+359B(K) was ^⿱古𫜸$ before Unicode 15.1
U+359C	㖜	*U+359C(K) was ^⿳亠口𫜸$ before Unicode 15.1
U+359D	㖝	*U+359D(K) was ^⿱未𫜸$ before Unicode 15.1
U+35AF	㖯	*U+35AF(K) was ^⿱同𫜸$ before Unicode 15.1
U+35B0	㖰	*U+35B0(K) was ^⿱𫜸同$ before Unicode 15.1
U+35B2	㖲	*U+35B2(K) was ^⿱如𫜸$ before Unicode 15.1
U+35B3	㖳	*U+35B3(K) was ^⿱汝𫜸$ before Unicode 15.1
U+35DF	㗟	*U+35DF(K) was ^⿱注𫜸$ before Unicode 15.1
U+35E0	㗠	*U+35E0(K) was ^⿱始𫜸$ before Unicode 15.1
U+35E1	㗡	*U+35E1(K) was ^⿱芿𠮟$ before Unicode 15.1
U+35EF	㗯	*U+35EF(K) was ^⿱者𫜸$ before Unicode 15.1
U+360F	㘏	*U+360F(K) was ^⿱道𫜸$ before Unicode 15.1
U+3612	㘒	*U+3612(K) was ^⿱種𫜸$ before Unicode 15.1
U+363D	㘽	*U+363D=U+39B3
U+3777	㝷	*U+3777(T) was ^⿳{43}⿰工丸寸$ before Unicode 6.0, and ^⿳𫜹巩寸$ between Unicode 6.0 and 13.0 inclusive
U+38AD	㢭	*U+38AD≡U+223BF
U+39B3	㦳	*U+39B3=U+363D
U+3A83	㪃	*U+3A83≡U+22F14
U+3A86	㪆	*U+3A86≡U+22F15
U+3A89	㪉	*U+3A89≡U+6546
U+3A8A	㪊	*U+3A8A≡U+22F4F
U+3A8B	㪋	*U+3A8B≡U+22F4E
U+3A90	㪐	*U+3A90≡U+22F72
U+3A91	㪑	*U+3A91≡U+22F71
U+3A97	㪗	*U+3A97≡U+6568
U+3A99	㪙	*U+3A99≡U+6564
U+3A9B	㪛	*U+3A9B≡U+22FA4
U+3AA3	㪣	*U+3AA3≡U+6572
U+3AA7	㪧	*U+3AA7≡U+22FF4
U+3AA8	㪨	*U+3AA8≡U+657E
U+3ADA	㫚	*U+3ADA(G)=U+66F6(H)
U+3AE4	㫤	*U+3AE4(T) was ^〾⿱日⿱一水$ before Unicode 6.0
U+3B35	㬵	*U+3B35≠U+80F6
U+3B36	㬶	*U+3B36≠U+266E9
U+3B3A	㬺	*U+3B3A≠U+5E50
U+3B3B	㬻	*U+3B3B≠U+4420
U+3B3F	㬿	*U+3B3F≠U+2B736
U+3B9D	㮝	*U+3B9D(G) was ^⿰木卻$ before Unicode 12.0
U+3BA3	㮣	*U+3BA3=U+69E9(GH)
U+3CCA	㳊	*U+3CCA≡U+23C8F
U+3DB7	㶷	*U+3DB7(K)=U+2420E(T)
U+3E0F	㸏	*U+3E0F(G)=U+7222(P)
U+3EB3	㺳	*U+3EB3≡U+73AB
U+400B	䀋	*U+400B=U+2A279(P)
U+418B	䆋	*U+418B(K)=U+9F9D
U+4301	䌁	*U+4301(T) was ^⿰糹⿱襾女$ before Unicode 6.0
U+4369	䍩	*U+4369≡U+22F1D
U+439B	䎛	*U+439B=U+3588
U+43D3	䏓	*U+43D3≠U+670A
U+43D9	䏙	*U+43D9≠U+4DBB
U+43DE	䏞	*U+43DE≠U+2669C
U+440B	䐋	*U+440B≠U+4DBC
U+4420	䐠	*U+4420≠U+3B3B
U+4443	䑃	*U+4443≠U+6726
U+456B	䕫	*U+456B(T) was ^⿱艹⿱⿲止白㔾⿱八夊$ in Unicode 5.2
U+4620	䘠	*U+4620(T)=U+889A; U+4620(T) was ^⿰衤⿸𠂇乂$ before Unicode 6.0
U+46BA	䚺	*U+46BA≡U+2C89F
U+48B4	䢴	*U+48B4(G) was ^⿰干阝$ before Unicode 15.0
U+4C17	䰗	*U+4C17(J)=U+29C18
U+4C3B	䰻	*U+4C3B≡U+2EAF1
U+4C77	䱷	*U+4C77≡U+2D910
U+4D47	䵇	*U+4D47≡U+2A398
U+4DB9	䶹	*U+4DB9=U+5C6E(J)
U+4DBA	䶺	*U+4DBA≠U+80AD
U+4DBB	䶻	*U+4DBB≠U+43D9
U+4DBC	䶼	*U+4DBC≠U+440B
U+4DBD	䶽	*U+4DBD≠U+6721
U+200C1	𠃁	*U+200C1=U+24C6E
U+2011E	𠄞	*U+2011E≠U+2011F≠U+20120≠U+4E8C
U+2011F	𠄟	*U+2011F≠U+20120≠U+4E8C≠U+2011E
U+20120	𠄠	*U+20120≠U+4E8C≠U+2011E≠U+2011F
U+20168	𠅨	*U+20168≡U+2016C
U+2016C	𠅬	*U+2016C≡U+20168
U+20195	𠆕	*U+20195≡U+221A3
U+201B8	𠆸	*U+201B8≡U+30066
U+20306	𠌆	*U+20306=U+204F3
U+2030B	𠌋	*U+2030B(T) was ^⿰俗{20}$ before Unicode 6.1
U+20357	𠍗	*U+20357(G) was ^⿱合𦥑$ in Unicode 5.2
U+203D8	𠏘	*U+203D8(G) was ^⿰亻⿱侃言$ before Unicode 16.0
U+20457	𠑗	*U+20457=U+34A8(G)
U+2045A	𠑚	*U+2045A(T) was ^⿰亻⿳⿸⿹𦣻止巳儿𧘇$ in Unicode 5.2
U+2048C	𠒌	*U+2048C(T) was ^⿱艹圥$ in Unicode 5.2
U+204F2	𠓲	*U+204F2=U+23515
U+204F3	𠓳	*U+204F3=U+20306
U+20500	𠔀	*U+20500=U+2232C(T)
U+2050A	𠔊	*U+2050A≠U+5175
U+20553	𠕓	*U+20553=U+21D0A(G)
U+2055B	𠕛	*U+2055B=U+20C6C(T)
U+20570	𠕰	*U+20570≡U+23353
U+20727	𠜧	*U+20727=U+20730(T)
U+20730	𠜰	*U+20730(T)=U+20727
U+20775	𠝵	*U+20775≡U+524F
U+2085A	𠡚	*U+2085A(V) was ^⿰亘力$ before Unicode 14.0
U+2087A	𠡺	*U+2087A(V) was ^⿱𨚫力$ before Unicode 15.1
U+20B9F	𠮟	*U+20B9F(GJ)=U+53F1(V)
U+20C00	𠰀	*U+20C00(V) was ^⿰口⿻弓丨$ before Unicode 15.1
U+20C6C	𠱬	*U+20C6C(T)=U+2055B
U+20D51	𠵑	*U+20D51(T) was ^⿰口⿹⿺㇉{50}占$ in Unicode 5.2; and ^⿰口⿹⿻⿰丨⿱{50}一𠃌口$ = U+20D01(G) in Unicode 6.0
U+20F96	𠾖	*U+20F96=U+5668(J)
U+21018	𡀘	*U+21018=U+2103C
U+2103C	𡀼	*U+2103C=U+21018
U+21128	𡄨	*U+21128(V) was ^⿰口⿱山⿲女束女$ before Unicode 16.0
U+21155	𡅕	*U+21155≡U+56CD(K)
U+212B9	𡊹	*U+212B9(T)=U+5794(G)
U+2143F	𡐿	*U+2143F(V) was ^⿰土達$ before Unicode 15.0
U+21580	𡖀	*U+21580(T)=U+2453F
U+21582	𡖂	*U+21582=U+8641(J);U+21582(G) was ^⿱卝⿳⿸⿹頁止巳八夊$ in Unicode 6.0
U+21660	𡙠	*U+21660(T) was ^⿱兹大$ in Unicode 6.0
U+216C7	𡛇	*U+216C7≡U+2A969
U+217EE	𡟮	*U+217EE(P)=U+5A90(GHTK)
U+2180C	𡠌	*U+2180C(G) was ^⿰女𣬉$ before Unicode 15.1
U+218F9	𡣹	*G-source is GHZ-21089.01, but GHZR shows ^⿱⿲火言火女$
U+21A0D	𡨍	*U+21A0D(T)≡U+24B3D(G)
U+21A25	𡨥	*U+21A25≡U+5BC7
U+21B57	𡭗	*U+21B57=U+5C12(P)
U+21D0A	𡴊	*U+21D0A(G)=U+20553
U+21D0C	𡴌	*U+21D0C=U+24C12(G)
U+21D68	𡵨	*U+21D68≡U+21D72
U+21D72	𡵲	*U+21D72≡U+21D68
U+21F37	𡼷	*U+21F37(G)=U+2439A(T)
U+22049	𢁉	*U+22049=U+5DFD(J)
U+220B0	𢂰	*U+220B0(V) was ^⿰巾争$ before Unicode 14.0
U+221A3	𢆣	*U+221A3≡U+20195
U+22309	𢌉	*U+22309(T) was ^⿸广⿳⿱一⿴𦥑自八夊$ in Unicode 5.2
U+2232C	𢌬	*U+2232C(T)=U+20500
U+223BF	𢎿	*U+223BF≡U+38AD
U+2261A	𢘚	*U+2261A(V) was ^⿰忄⿷冘丶$ before Unicode 14.0
U+226B4	𢚴	*U+226B4(V) was ^⿰忄𢖫$ in Unicode 14.0 only
U+22844	𢡄	*U+22844(T) was ^⿰忄⿱⿰夭夭日$ in Unicode 5.2
U+22877	𢡷	*Perhaps a glyph error for ^⿱⿰来攵⿸厂心$. G-source is GHZ-42350.04, but the character is not found in GHZR
U+228D7	𢣗	*U+228D7(G)=U+61E1(TJK)
U+2297B	𢥻	*U+2297B(P)=U+2D7E7
U+229FF	𢧿	*U+229FF(T) was ^⿵戊⿱臣內$ in Unicode 5.2
U+22A8A	𢪊	*U+22A8A≡U+22A9B
U+22A8F	𢪏	*U+22A8F=U+6287(TKV)
U+22A9B	𢪛	*U+22A9B≡U+22A8A
U+22AC5	𢫅	*U+22AC5(V) was ^⿰扌⿺乇匕$ in Unicode 14.0 only
U+22ACF	𢫏	*U+22ACF(H) was ^⿰扌⿱冂山$ before Unicode 15.0
U+22ADC	𢫜	*U+22ADC(V) was ^⿰扌⿱八上$ before Unicode 14.0
U+22C6D	𢱭	*U+22C6D≡U+22CCE
U+22C93	𢲓	*U+22C93(G)≡U+26979
U+22CCE	𢳎	*U+22CCE≡U+22C6D
U+22E95	𢺕	*U+22E95(T) was ^⿰扌⿳𦣻⿲止⿰丨丨巳夊$ in Unicode 6.0
U+22EEB	𢻫	*U+22EEB≡U+22EF1
U+22EF0	𢻰	*U+22EF0≡U+653A
U+22EF1	𢻱	*U+22EF1≡U+22EEB
U+22EF3	𢻳	*U+22EF3≡U+2ABC8
U+22EFC	𢻼	*U+22EFC≡U+22F08
U+22F02	𢼂	*U+22F02≡U+2455D
U+22F08	𢼈	*U+22F08≡U+22EFC
U+22F0D	𢼍	*U+22F0D≡U+2D8E9
U+22F0E	𢼎	*U+22F0E≡U+2BFA9
U+22F12	𢼒	*U+22F12≡U+6542
U+22F14	𢼔	*U+22F14≡U+3A83
U+22F15	𢼕	*U+22F15≡U+3A86
U+22F1B	𢼛	*U+22F1B≡U+654B
U+22F1D	𢼝	*U+22F1D≡U+4369
U+22F22	𢼢	*U+22F22≡U+2D8F1
U+22F23	𢼣	*U+22F23≡U+2BFAA
U+22F24	𢼤	*U+22F24≡U+654C
U+22F26	𢼦	*U+22F26≡U+22F2D
U+22F28	𢼨	*U+22F28≡U+22F2E
U+22F29	𢼩	*U+22F29≡U+22F36
U+22F2B	𢼫	*U+22F2B≡U+22F2C
U+22F2C	𢼬	*U+22F2C≡U+22F2B
U+22F2D	𢼭	*U+22F2D≡U+22F26
U+22F2E	𢼮	*U+22F2E≡U+22F28
U+22F2F	𢼯	*U+22F2F≡U+22F34
U+22F32	𢼲	*U+22F32≡U+2BFAD
U+22F34	𢼴	*U+22F34≡U+22F2F
U+22F36	𢼶	*U+22F36≡U+22F29
U+22F39	𢼹	*U+22F39≡U+22F4A
U+22F3C	𢼼	*U+22F3C≡U+22F50
U+22F3E	𢼾	*U+22F3E≡U+22F4B
U+22F4A	𢽊	*U+22F4A≡U+22F39
U+22F4B	𢽋	*U+22F4B≡U+22F3E
U+22F4E	𢽎	*U+22F4E≡U+3A8B
U+22F4F	𢽏	*U+22F4F≡U+3A8A
U+22F50	𢽐	*U+22F50≡U+22F3C
U+22F5A	𢽚	*U+22F5A≡U+22F74
U+22F5C	𢽜	*U+22F5C≡U+22F77
U+22F5D	𢽝	*U+22F5D≡U+3054C
U+22F5E	𢽞	*U+22F5E≡U+2ABCE
U+22F62	𢽢	*U+22F62≡U+22F75
U+22F63	𢽣	*U+22F63≡U+22F76
U+22F67	𢽧	*U+22F67≡U+2D8F6
U+22F68	𢽨	*U+22F68≡U+2ABCF
U+22F6A	𢽪	*U+22F6A≡U+22F70
U+22F6B	𢽫	*U+22F6B≡U+22FA3
U+22F70	𢽰	*U+22F70≡U+22F6A
U+22F71	𢽱	*U+22F71≡U+3A91
U+22F72	𢽲	*U+22F72≡U+3A90
U+22F74	𢽴	*U+22F74≡U+22F5A
U+22F75	𢽵	*U+22F75≡U+22F62
U+22F76	𢽶	*U+22F76≡U+22F63
U+22F77	𢽷	*U+22F77≡U+22F5C
U+22F7B	𢽻	*U+22F7B≡U+6565
U+22F7D	𢽽	*U+22F7D≡U+6567
U+22F7E	𢽾	*U+22F7E≡U+6569
U+22F81	𢾁	*U+22F81≡U+22F9D
U+22F85	𢾅	*U+22F85≡U+22F96
U+22F86	𢾆	*U+22F86≡U+2D900
U+22F8A	𢾊	*U+22F8A≡U+22F9B
U+22F8B	𢾋	*U+22F8B(T)≡U+22FA1
U+22F8D	𢾍	*U+22F8D≡U+22F95
U+22F8E	𢾎	*U+22F8E≡U+22F9C
U+22F91	𢾑	*U+22F91≡U+22F9A
U+22F95	𢾕	*U+22F95≡U+22F8D
U+22F96	𢾖	*U+22F96≡U+22F85
U+22F99	𢾙	*U+22F99≡U+656D
U+22F9A	𢾚	*U+22F9A≡U+22F91
U+22F9B	𢾛	*U+22F9B≡U+22F8A
U+22F9C	𢾜	*U+22F9C≡U+22F8E
U+22F9D	𢾝	*U+22F9D≡U+22F81
U+22F9E	𢾞	*U+22F9E≡U+656F
U+22FA1	𢾡	*U+22FA1≡U+22F8B(T)
U+22FA3	𢾣	*U+22FA3≡U+22F6B
U+22FA4	𢾤	*U+22FA4≡U+3A9B
U+22FB2	𢾲	*U+22FB2≡U+22FBC
U+22FBA	𢾺	*U+22FBA≡U+22FBB
